Time,X Position,Y Position,X Error,Y Error
1744157810.957637,398,324,78,84
1744157810.992959,398,324,78,84
1744157811.0262508,398,324,78,84
1744157811.0588038,398,324,78,84
1744157811.0932732,398,324,78,84
1744157811.1246178,398,324,78,84
1744157811.1572657,398,324,78,84
1744157811.1925335,399,324,79,84
1744157811.2252336,398,324,78,84
1744157811.2566032,398,323,78,83
1744157811.29369,398,322,78,82
1744157811.324577,397,323,77,83
1744157811.3574345,398,323,78,83
1744157811.392952,398,322,78,82
1744157811.4256556,398,324,78,84
1744157811.457772,398,323,78,83
1744157811.4932797,398,324,78,84
1744157811.5246193,398,323,78,83
1744157811.557534,399,324,79,84
1744157811.5926592,398,323,78,83
1744157811.6253169,398,324,78,84
1744157811.6567497,398,324,78,84
1744157811.6933272,398,324,78,84
1744157811.7246017,398,323,78,83
1744157811.7575445,398,324,78,84
1744157811.7926564,398,323,78,83
1744157811.8257318,398,323,78,83
1744157811.857089,398,323,78,83
1744157811.8939164,398,323,78,83
1744157811.9256716,398,323,78,83
1744157811.9576936,398,323,78,83
1744157811.9933736,398,323,78,83
1744157812.025338,398,323,78,83
1744157812.0567586,398,323,78,83
1744157812.0941842,398,323,78,83
1744157812.1246705,398,323,78,83
1744157812.157513,397,323,77,83
1744157812.1927803,398,323,78,83
1744157812.2253628,399,324,79,84
1744157812.25679,398,323,78,83
1744157812.293594,397,323,77,83
1744157812.3247554,398,323,78,83
1744157812.3574424,398,323,78,83
1744157812.3931003,398,323,78,83
1744157812.4256597,397,322,77,82
1744157812.4571893,397,322,77,82
1744157812.4934225,398,322,78,82
1744157812.5246954,397,322,77,82
1744157812.5576491,397,322,77,82
1744157812.592837,397,323,77,83
1744157812.6256504,397,323,77,83
1744157812.6567805,397,322,77,82
1744157812.6943443,397,322,77,82
1744157812.7247763,397,322,77,82
1744157812.7575512,397,322,77,82
1744157812.792821,396,322,76,82
1744157812.825509,397,323,77,83
1744157812.856859,396,322,76,82
1744157812.8941844,396,322,76,82
1744157812.9254172,395,322,75,82
1744157812.9582405,396,322,76,82
1744157812.9936814,396,321,76,81
1744157813.0256267,396,321,76,81
1744157813.0573816,397,323,77,83
1744157813.0935416,396,322,76,82
1744157813.1248176,396,321,76,81
1744157813.1583214,396,321,76,81
1744157813.1929216,396,321,76,81
1744157813.225568,396,321,76,81
1744157813.257758,396,321,76,81
1744157813.2935407,396,322,76,82
1744157813.3256059,396,321,76,81
1744157813.3576245,396,321,76,81
1744157813.3931613,396,321,76,81
1744157813.4259293,396,321,76,81
1744157813.4575467,396,321,76,81
1744157813.49358,396,321,76,81
1744157813.5248737,396,321,76,81
1744157813.5576227,396,321,76,81
1744157813.5929193,395,321,75,81
1744157813.6256037,396,321,76,81
1744157813.6569924,396,321,76,81
1744157813.6936505,396,321,76,81
1744157813.7248998,396,321,76,81
1744157813.7587013,396,321,76,81
1744157813.7929852,396,321,76,81
1744157813.8260071,395,321,75,81
1744157813.8575935,395,321,75,81
1744157813.8923986,396,321,76,81
1744157813.9254305,395,321,75,81
1744157813.9584093,396,321,76,81
1744157813.9903955,396,321,76,81
1744157814.0256407,396,321,76,81
1744157814.0578353,395,321,75,81
1744157814.0897632,395,321,75,81
1744157814.1249456,395,321,75,81
1744157814.1577537,395,321,75,81
1744157814.1903913,396,321,76,81
1744157814.2256978,395,321,75,81
1744157814.256995,396,321,76,81
1744157814.289777,395,321,75,81
1744157814.3254411,395,321,75,81
1744157814.3582232,396,320,76,80
1744157814.39017,395,321,75,81
1744157814.4257615,395,321,75,81
1744157814.4579098,396,321,76,81
1744157814.490223,395,321,75,81
1744157814.5249877,395,320,75,80
1744157814.5577204,396,321,76,81
1744157814.5895624,396,321,76,81
1744157814.6257129,396,321,76,81
1744157814.6570637,395,321,75,81
1744157814.6902354,395,321,75,81
1744157814.725125,396,321,76,81
1744157814.7581828,396,320,76,80
1744157814.789921,396,321,76,81
1744157814.8265584,396,321,76,81
1744157814.8574758,395,321,75,81
1744157814.8910608,395,321,75,81
1744157814.9251356,395,321,75,81
1744157814.9580557,395,321,75,81
1744157814.9892397,395,321,75,81
1744157815.0257862,395,321,75,81
1744157815.0571072,395,320,75,80
1744157815.0898821,395,320,75,80
1744157815.1252391,396,320,76,80
1744157815.157803,396,321,76,81
1744157815.1893442,395,320,75,80
1744157815.2265906,396,320,76,80
1744157815.258507,395,320,75,80
1744157815.290792,395,320,75,80
1744157815.3251736,395,320,75,80
1744157815.357972,395,320,75,80
1744157815.3895712,395,320,75,80
1744157815.4258997,395,320,75,80
1744157815.4571319,395,320,75,80
1744157815.4902234,395,320,75,80
1744157815.5252283,395,320,75,80
1744157815.5578783,395,320,75,80
1744157815.5892487,395,320,75,80
